Timestamp_Local,IP,Index,Parameter_Name,Value,Unit,Demand Current,Demand Power,Demand Apparent Power,Projected #1 Demand Current,Projected #1 Demand Power,Projected #1 Demand Reactive Power,Projected #1 Demand Apparent Power,Projected #2 Demand Current,Projected #2 Demand Power,Projected #2 Demand Reactive Power,Projected #2 Demand Apparent Power,Projected #3 Demand Current,Projected #3 Demand Power,Projected #3 Demand Reactive Power,Projected #3 Demand Apparent Power,Elapsed Time
(units),,,,,,A,W,VA,A,W,VAR,VA,A,W,VAR,VA,A,W,VAR,VA,s
2026-05-11T18:33:32Z,10.16.130.50,14,Projected #3 Demand Current,387110.9375,A,,,,,,,,,,,,,,,,
2026-05-11T18:33:32Z,10.16.130.50,15,Projected #3 Demand Power,60.903393,W,,,,,,,,,,,,,,,,
2026-05-11T18:33:32Z,10.16.130.50,16,Projected #3 Demand Reactive Power,414185.0625,VAR,,,,,,,,,,,,,,,,
2026-05-11T18:33:32Z,10.16.130.50,17,Projected #3 Demand Apparent Power,191435.515625,VA,,,,,,,,,,,,,,,,
2026-05-11T18:33:32Z,10.16.130.50,18,Elapsed Time,456789.28125,s,,,,,,,,,,,,,,,,
2026-05-11T18:34:08Z,10.16.130.50,1,Date,12/5/2012,,,,,,,,,,,,,,,,,
2026-05-11T18:34:08Z,10.16.130.50,2,Time,21:11:38,,,,,,,,,,,,,,,,,
2026-05-11T18:34:08Z,10.16.130.50,3,Demand Current,49.191601,A,,,,,,,,,,,,,,,,
2026-05-11T18:34:08Z,10.16.130.50,4,Demand Power,331229.53125,W,,,,,,,,,,,,,,,,
2026-05-11T18:34:08Z,10.16.130.50,5,Demand Apparent Power,157337.421875,VA,,,,,,,,,,,,,,,,
2026-05-11T18:34:08Z,10.16.130.50,6,Projected #1 Demand Current,367524.78125,A,,,,,,,,,,,,,,,,
2026-05-11T18:34:08Z,10.16.130.50,7,Projected #1 Demand Power,49.937157,W,,,,,,,,,,,,,,,,
2026-05-11T18:34:08Z,10.16.130.50,8,Projected #1 Demand Reactive Power,333990.125,VAR,,,,,,,,,,,,,,,,
2026-05-11T18:34:08Z,10.16.130.50,9,Projected #1 Demand Apparent Power,163415.9375,VA,,,,,,,,,,,,,,,,
2026-05-11T18:34:08Z,10.16.130.50,10,Projected #2 Demand Current,373002.09375,A,,,,,,,,,,,,,,,,
2026-05-11T18:34:08Z,10.16.130.50,11,Projected #2 Demand Power,47.696743,W,,,,,,,,,,,,,,,,
2026-05-11T18:34:08Z,10.16.130.50,12,Projected #2 Demand Reactive Power,320725.03125,VAR,,,,,,,,,,,,,,,,
2026-05-11T18:34:08Z,10.16.130.50,13,Projected #2 Demand Apparent Power,154806.125,VA,,,,,,,,,,,,,,,,
2026-05-11T18:34:08Z,10.16.130.50,14,Projected #3 Demand Current,357172.46875,A,,,,,,,,,,,,,,,,
2026-05-11T18:34:08Z,10.16.130.50,15,Projected #3 Demand Power,20.119867,W,,,,,,,,,,,,,,,,
2026-05-11T18:34:08Z,10.16.130.50,16,Projected #3 Demand Reactive Power,185893.203125,VAR,,,,,,,,,,,,,,,,
2026-05-11T18:34:08Z,10.16.130.50,17,Projected #3 Demand Apparent Power,-12466.469727,VA,,,,,,,,,,,,,,,,
2026-05-11T18:34:08Z,10.16.130.50,18,Elapsed Time,161932.65625,s,,,,,,,,,,,,,,,,
2026-05-11T18:34:43Z,10.16.130.50,1,Date,12/5/2012,,,,,,,,,,,,,,,,,
2026-05-11T18:34:43Z,10.16.130.50,2,Time,21:12:13,,,,,,,,,,,,,,,,,
2026-05-11T18:34:43Z,10.16.130.50,3,Demand Current,49.191601,A,,,,,,,,,,,,,,,,
2026-05-11T18:34:43Z,10.16.130.50,4,Demand Power,331229.53125,W,,,,,,,,,,,,,,,,
2026-05-11T18:34:43Z,10.16.130.50,5,Demand Apparent Power,157337.421875,VA,,,,,,,,,,,,,,,,
2026-05-11T18:34:43Z,10.16.130.50,6,Projected #1 Demand Current,367524.78125,A,,,,,,,,,,,,,,,,
2026-05-11T18:34:43Z,10.16.130.50,7,Projected #1 Demand Power,49.594307,W,,,,,,,,,,,,,,,,
2026-05-11T18:34:43Z,10.16.130.50,8,Projected #1 Demand Reactive Power,332060.3125,VAR,,,,,,,,,,,,,,,,
2026-05-11T18:34:43Z,10.16.130.50,9,Projected #1 Demand Apparent Power,161946.390625,VA,,,,,,,,,,,,,,,,
2026-05-11T18:34:43Z,10.16.130.50,10,Projected #2 Demand Current,370604.53125,A,,,,,,,,,,,,,,,,
2026-05-11T18:34:43Z,10.16.130.50,11,Projected #2 Demand Power,48.999031,W,,,,,,,,,,,,,,,,
2026-05-11T18:34:43Z,10.16.130.50,12,Projected #2 Demand Reactive Power,329120.375,VAR,,,,,,,,,,,,,,,,
2026-05-11T18:34:43Z,10.16.130.50,13,Projected #2 Demand Apparent Power,159427.171875,VA,,,,,,,,,,,,,,,,
2026-05-11T18:34:43Z,10.16.130.50,14,Projected #3 Demand Current,366767.46875,A,,,,,,,,,,,,,,,,
2026-05-11T18:34:43Z,10.16.130.50,15,Projected #3 Demand Power,58.545662,W,,,,,,,,,,,,,,,,
2026-05-11T18:34:43Z,10.16.130.50,16,Projected #3 Demand Reactive Power,381839.0,VAR,,,,,,,,,,,,,,,,
2026-05-11T18:34:43Z,10.16.130.50,17,Projected #3 Demand Apparent Power,213764.71875,VA,,,,,,,,,,,,,,,,
2026-05-11T18:34:43Z,10.16.130.50,18,Elapsed Time,437068.28125,s,,,,,,,,,,,,,,,,
